"First","Last","DisplaName","Username","UserPrincipalName","Department","Title","OU","Group","Status","Notes"
"Adrian","Mercer","Adrian Mercer","adrian.mercer","adrian.mercer@corp.smartech.com","Sales","Sales Associate","OU=Sales,DC=corp,DC=smartech,DC=com","Sales_Team","Created","User created and added to Sales_Team"
"Bianca","Delgado","Bianca Delgado","bianca.delgado","bianca.delgado@corp.smartech.com","Sales","Sales Associate","OU=Sales,DC=corp,DC=smartech,DC=com","Sales_Team","Created","User created and added to Sales_Team"
"Caleb","Monroe","Caleb Monroe","caleb.monroe","caleb.monroe@corp.smartech.com","Sales","Sales Associate","OU=Sales,DC=corp,DC=smartech,DC=com","Sales_Team","Created","User created and added to Sales_Team"
"Danielle","Vargas","Danielle Vargas","danielle.vargas","danielle.vargas@corp.smartech.com","Sales","Sales Associate","OU=Sales,DC=corp,DC=smartech,DC=com","Sales_Team","Created","User created and added to Sales_Team"
"Elias","Navarro","Elias Navarro","elias.navarro","elias.navarro@corp.smartech.com","Sales","Sales Specialist","OU=Sales,DC=corp,DC=smartech,DC=com","Sales_Team","Created","User created and added to Sales_Team"
"Farrah","Bennett","Farrah Bennett","farrah.bennett","farrah.bennett@corp.smartech.com","Sales","Sales Specialist","OU=Sales,DC=corp,DC=smartech,DC=com","Sales_Team","Created","User created and added to Sales_Team"
"Gavin","Parker","Gavin Parker","gavin.parker","gavin.parker@corp.smartech.com","Sales","Sales Representative","OU=Sales,DC=corp,DC=smartech,DC=com","Sales_Team","Created","User created and added to Sales_Team"
"Hazel","Reeves","Hazel Reeves","hazel.reeves","hazel.reeves@corp.smartech.com","Sales","Sales Representative","OU=Sales,DC=corp,DC=smartech,DC=com","Sales_Team","Created","User created and added to Sales_Team"
"Isiah","Foster","Isiah Foster","isiah.foster","isiah.foster@corp.smartech.com","Sales","Account Executive","OU=Sales,DC=corp,DC=smartech,DC=com","Sales_Team","Created","User created and added to Sales_Team"
"Jazmine","Cruz","Jazmine Cruz","jazmine.cruz","jazmine.cruz@corp.smartech.com","Sales","Account Executive","OU=Sales,DC=corp,DC=smartech,DC=com","Sales_Team","Created","User created and added to Sales_Team"
"Kieran","Walsh","Kieran Walsh","kieran.walsh","kieran.walsh@corp.smartech.com","Sales","Account Executive","OU=Sales,DC=corp,DC=smartech,DC=com","Sales_Team","Created","User created and added to Sales_Team"
"Lena","Morrison","Lena Morrison","lena.morrison","lena.morrison@corp.smartech.com","Sales","Sales Coordinator","OU=Sales,DC=corp,DC=smartech,DC=com","Sales_Team","Created","User created and added to Sales_Team"
"Malik","Turner","Malik Turner","malik.turner","malik.turner@corp.smartech.com","Sales","Sales Coordinator","OU=Sales,DC=corp,DC=smartech,DC=com","Sales_Team","Created","User created and added to Sales_Team"
"Nina","Holland","Nina Holland","nina.holland","nina.holland@corp.smartech.com","Sales","Sales Analyst","OU=Sales,DC=corp,DC=smartech,DC=com","Sales_Team","Created","User created and added to Sales_Team"
"Owen","Ramirez","Owen Ramirez","owen.ramirez","owen.ramirez@corp.smartech.com","Sales","Sales Analyst","OU=Sales,DC=corp,DC=smartech,DC=com","Sales_Team","Created","User created and added to Sales_Team"
"Paige","Sullivan","Paige Sullivan","paige.sullivan","paige.sullivan@corp.smartech.com","Sales","Sales Analyst","OU=Sales,DC=corp,DC=smartech,DC=com","Sales_Team","Created","User created and added to Sales_Team"
"Quentin","Hayes","Quentin Hayes","quentin.hayes","quentin.hayes@corp.smartech.com","Sales","Sales Operations","OU=Sales,DC=corp,DC=smartech,DC=com","Sales_Team","Created","User created and added to Sales_Team"
